VIN;Manufacturer;MODEL;Storage Consignee;ENTRY DATE
VF3MCYHZRLS172511;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186144;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186145;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186147;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186149;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186151;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186153;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186156;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186158;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186159;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186163;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VF3MCYHZRLS186164;PEUGEOT;3008;SKLAD GEFCO FCD;20/10/2020
VR3FCYHZRLY035326;PEUGEOT;508;SKLAD GEFCO FCD;20/10/2020
VR3FCYHZRLY035327;PEUGEOT;508;SKLAD GEFCO FCD;20/10/2020
VR3FCYHZRLY035328;PEUGEOT;508;SKLAD GEFCO FCD;20/10/2020
VR3USHNKKLJ857832;PEUGEOT;2008 II;SKLAD GEFCO FCD;29/10/2020
